               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 143,            0.014301,           0.0072417,           0.0017002,                   0,                   0,                   0,                   0,                   0,           0.0067702,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.014179,           0.0065324,           0.0010788,                   0,                   0,                   0,                   0,                   0,           0.0064793,                   0,            0.005281,            0.005281,            0.005281
                 145,             0.01383,           0.0069318,           0.0014089,                   0,                   0,                   0,                   0,                   0,           0.0066504,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.014317,           0.0071337,            0.001699,                   0,                   0,                   0,                   0,                   0,           0.0071393,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.013985,           0.0066701,            0.001426,                   0,                   0,                   0,                   0,                   0,           0.0070063,                   0,            0.005182,            0.005182,            0.005182
                 148,             0.01327,           0.0066531,           0.0015028,                   0,                   0,                   0,                   0,                   0,           0.0067354,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.014133,           0.0067813,           0.0019991,                   0,                   0,                   0,                   0,                   0,           0.0068862,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.014275,           0.0065273,           0.0016528,                   0,                   0,                   0,                   0,                   0,           0.0065368,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.013378,           0.0070317,           0.0023613,                   0,                   0,                   0,                   0,                   0,           0.0057723,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.013888,            0.007081,            0.001731,                   0,                   0,                   0,                   0,                   0,           0.0061749,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.014217,           0.0066474,           0.0020483,                   0,                   0,                   0,                   0,                   0,           0.0064311,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.013704,           0.0067652,           0.0016002,                   0,                   0,                   0,                   0,                   0,           0.0070284,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.014227,           0.0074264,           0.0018967,                   0,                   0,                   0,                   0,                   0,           0.0071135,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.014536,           0.0070482,            0.002472,                   0,                   0,                   0,                   0,                   0,            0.007407,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.014247,           0.0072219,           0.0021736,                   0,                   0,                   0,                   0,                   0,           0.0076168,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.014529,           0.0072785,           0.0018742,                   0,                   0,                   0,                   0,                   0,           0.0069326,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.013579,           0.0069561,           0.0013714,                   0,                   0,                   0,                   0,                   0,           0.0066113,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.014422,           0.0072984,           0.0017747,                   0,                   0,                   0,                   0,                   0,           0.0065464,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.015208,           0.0072881,           0.0021193,                   0,                   0,                   0,                   0,                   0,           0.0068706,                   0,             0.00472,             0.00472,             0.00472
                 162,             0.01451,           0.0071076,           0.0013977,                   0,                   0,                   0,                   0,                   0,           0.0071899,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.013564,            0.006676,           0.0018598,                   0,                   0,                   0,                   0,                   0,           0.0074636,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.013748,           0.0064627,           0.0018298,                   0,                   0,                   0,                   0,                   0,           0.0072466,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.014154,           0.0068029,           0.0020406,                   0,                   0,                   0,                   0,                   0,           0.0072571,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.012609,           0.0066251,           0.0017989,                   0,                   0,                   0,                   0,                   0,           0.0074407,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.013764,           0.0072126,           0.0016079,                   0,                   0,                   0,                   0,                   0,           0.0077404,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.013147,            0.006852,           0.0014786,                   0,                   0,                   0,                   0,                   0,           0.0075114,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.013902,           0.0070476,           0.0017655,                   0,                   0,                   0,                   0,                   0,           0.0065243,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.013831,           0.0068293,           0.0019547,                   0,                   0,                   0,                   0,                   0,           0.0061829,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.012855,           0.0066913,           0.0010549,                   0,                   0,                   0,                   0,                   0,           0.0066787,                   0,             0.00439,             0.00439,             0.00439
                 172,            0.013752,           0.0067721,           0.0017255,                   0,                   0,                   0,                   0,                   0,           0.0066273,                   0,            0.004357,            0.004357,            0.004357
                 173,            0.012934,           0.0065266,           0.0013774,                   0,                   0,                   0,                   0,                   0,           0.0070785,                   0,            0.004324,            0.004324,            0.004324
                 174,            0.013658,           0.0069596,           0.0017163,                   0,                   0,                   0,                   0,                   0,           0.0072318,                   0,            0.004291,            0.004291,            0.004291
                 175,            0.012686,           0.0067122,           0.0015563,                   0,                   0,                   0,                   0,                   0,           0.0073856,                   0,            0.004258,            0.004258,            0.004258
                 176,            0.012882,           0.0064474,           0.0012621,                   0,                   0,                   0,                   0,                   0,           0.0072765,                   0,            0.004225,            0.004225,            0.004225
                 177,             0.01286,            0.006298,           0.0014991,                   0,                   0,                   0,                   0,                   0,            0.006769,                   0,            0.004192,            0.004192,            0.004192
                 178,            0.013391,           0.0066953,            0.001371,                   0,                   0,                   0,                   0,                   0,           0.0069375,                   0,            0.004159,            0.004159,            0.004159
                 179,            0.013871,           0.0068273,          0.00099877,                   0,                   0,                   0,                   0,                   0,            0.007101,                   0,            0.004126,            0.004126,            0.004126
                 180,            0.012985,           0.0064533,           0.0013524,                   0,                   0,                   0,                   0,                   0,           0.0070273,                   0,            0.004093,            0.004093,            0.004093
                 181,             0.01306,           0.0071093,           0.0012398,                   0,                   0,                   0,                   0,                   0,            0.006655,                   0,             0.00406,             0.00406,             0.00406
                 182,            0.013303,           0.0069119,           0.0012893,                   0,                   0,                   0,                   0,                   0,           0.0062031,                   0,            0.004027,            0.004027,            0.004027
                 183,            0.012757,           0.0065118,           0.0014537,                   0,                   0,                   0,                   0,                   0,           0.0067231,                   0,            0.003994,            0.003994,            0.003994
                 184,            0.012163,           0.0064235,           0.0014572,                   0,                   0,                   0,                   0,                   0,           0.0070911,                   0,            0.003961,            0.003961,            0.003961
                 185,            0.012266,           0.0064438,          0.00094067,                   0,                   0,                   0,                   0,                   0,           0.0076212,                   0,            0.003928,            0.003928,            0.003928
