INFO:root:Using Tensorboard, logs will be saved in workspace/nanodet_m/logs
INFO:root:Creating model...
INFO:root:Setting up data...
INFO:root:loading annotations into memory...
INFO:root:Found 3600 annotation files.
INFO:root:Load 3600 xml files and 3943 boxes
INFO:root:Done (t=0.20s)
INFO:root:loading annotations into memory...
INFO:root:Found 1397 annotation files.
INFO:root:Load 1397 xml files and 1549 boxes
INFO:root:Done (t=0.08s)
INFO:root:Training batch size: 20
INFO:root:Starting training...
INFO:root:Start warming up...
INFO:root:train|Epoch3/200|Iter461(100/180)| lr:1.40e-01| loss_qfl:0.3173| loss_bbox:0.4035| loss_dfl:0.2446| 
INFO:root:train|Epoch3/200|Iter471(110/180)| lr:1.40e-01| loss_qfl:0.3201| loss_bbox:0.4288| loss_dfl:0.2540| 
INFO:root:train|Epoch3/200|Iter481(120/180)| lr:1.40e-01| loss_qfl:0.2968| loss_bbox:0.3709| loss_dfl:0.2421| 
INFO:root:train|Epoch3/200|Iter491(130/180)| lr:1.40e-01| loss_qfl:0.3219| loss_bbox:0.4366| loss_dfl:0.2575| 
INFO:root:train|Epoch3/200|Iter501(140/180)| lr:1.40e-01| loss_qfl:0.2802| loss_bbox:0.4226| loss_dfl:0.2532| 
INFO:root:train|Epoch3/200|Iter511(150/180)| lr:1.40e-01| loss_qfl:0.3061| loss_bbox:0.4233| loss_dfl:0.2511| 
INFO:root:train|Epoch3/200|Iter521(160/180)| lr:1.40e-01| loss_qfl:0.3089| loss_bbox:0.4315| loss_dfl:0.2576| 
INFO:root:train|Epoch3/200|Iter531(170/180)| lr:1.40e-01| loss_qfl:0.3478| loss_bbox:0.4234| loss_dfl:0.2523| 
INFO:root:train|Epoch4/200|Iter541(0/180)| lr:1.40e-01| loss_qfl:0.3061| loss_bbox:0.3677| loss_dfl:0.2306| 
INFO:root:train|Epoch4/200|Iter551(10/180)| lr:1.40e-01| loss_qfl:0.2823| loss_bbox:0.3862| loss_dfl:0.2406| 
INFO:root:train|Epoch4/200|Iter561(20/180)| lr:1.40e-01| loss_qfl:0.3012| loss_bbox:0.4455| loss_dfl:0.2580| 
INFO:root:train|Epoch4/200|Iter571(30/180)| lr:1.40e-01| loss_qfl:0.3134| loss_bbox:0.4087| loss_dfl:0.2450| 
INFO:root:train|Epoch4/200|Iter581(40/180)| lr:1.40e-01| loss_qfl:0.3220| loss_bbox:0.3784| loss_dfl:0.2392| 
INFO:root:train|Epoch4/200|Iter591(50/180)| lr:1.40e-01| loss_qfl:0.3248| loss_bbox:0.4103| loss_dfl:0.2501| 
INFO:root:train|Epoch4/200|Iter601(60/180)| lr:1.40e-01| loss_qfl:0.2946| loss_bbox:0.4189| loss_dfl:0.2526| 
INFO:root:train|Epoch4/200|Iter611(70/180)| lr:1.40e-01| loss_qfl:0.3061| loss_bbox:0.3967| loss_dfl:0.2445| 
INFO:root:train|Epoch4/200|Iter621(80/180)| lr:1.40e-01| loss_qfl:0.3205| loss_bbox:0.4058| loss_dfl:0.2474| 
INFO:root:train|Epoch4/200|Iter631(90/180)| lr:1.40e-01| loss_qfl:0.3432| loss_bbox:0.4433| loss_dfl:0.2563| 
INFO:root:train|Epoch4/200|Iter641(100/180)| lr:1.40e-01| loss_qfl:0.2698| loss_bbox:0.4199| loss_dfl:0.2490| 
INFO:root:train|Epoch4/200|Iter651(110/180)| lr:1.40e-01| loss_qfl:0.2990| loss_bbox:0.3999| loss_dfl:0.2395| 
INFO:root:train|Epoch4/200|Iter661(120/180)| lr:1.40e-01| loss_qfl:0.3046| loss_bbox:0.3733| loss_dfl:0.2331| 
INFO:root:train|Epoch4/200|Iter671(130/180)| lr:1.40e-01| loss_qfl:0.2995| loss_bbox:0.4068| loss_dfl:0.2404| 
INFO:root:train|Epoch4/200|Iter681(140/180)| lr:1.40e-01| loss_qfl:0.2820| loss_bbox:0.3889| loss_dfl:0.2418| 
INFO:root:train|Epoch4/200|Iter691(150/180)| lr:1.40e-01| loss_qfl:0.2582| loss_bbox:0.4097| loss_dfl:0.2458| 
INFO:root:train|Epoch4/200|Iter701(160/180)| lr:1.40e-01| loss_qfl:0.3017| loss_bbox:0.4109| loss_dfl:0.2470| 
INFO:root:train|Epoch4/200|Iter711(170/180)| lr:1.40e-01| loss_qfl:0.2662| loss_bbox:0.3835| loss_dfl:0.2332| 
INFO:root:train|Epoch5/200|Iter721(0/180)| lr:1.40e-01| loss_qfl:0.2574| loss_bbox:0.4384| loss_dfl:0.2705| 
INFO:root:train|Epoch5/200|Iter731(10/180)| lr:1.40e-01| loss_qfl:0.2912| loss_bbox:0.3616| loss_dfl:0.2282| 
INFO:root:train|Epoch5/200|Iter741(20/180)| lr:1.40e-01| loss_qfl:0.2797| loss_bbox:0.4055| loss_dfl:0.2413| 
INFO:root:train|Epoch5/200|Iter751(30/180)| lr:1.40e-01| loss_qfl:0.3013| loss_bbox:0.3947| loss_dfl:0.2386| 
INFO:root:train|Epoch5/200|Iter761(40/180)| lr:1.40e-01| loss_qfl:0.3183| loss_bbox:0.3844| loss_dfl:0.2384| 
INFO:root:train|Epoch5/200|Iter771(50/180)| lr:1.40e-01| loss_qfl:0.3016| loss_bbox:0.4146| loss_dfl:0.2452| 
INFO:root:train|Epoch5/200|Iter781(60/180)| lr:1.40e-01| loss_qfl:0.2992| loss_bbox:0.3808| loss_dfl:0.2376| 
INFO:root:train|Epoch5/200|Iter791(70/180)| lr:1.40e-01| loss_qfl:0.3085| loss_bbox:0.3581| loss_dfl:0.2310| 
INFO:root:train|Epoch5/200|Iter801(80/180)| lr:1.40e-01| loss_qfl:0.3163| loss_bbox:0.4253| loss_dfl:0.2544| 
INFO:root:train|Epoch5/200|Iter811(90/180)| lr:1.40e-01| loss_qfl:0.2995| loss_bbox:0.3913| loss_dfl:0.2399| 
INFO:root:train|Epoch5/200|Iter821(100/180)| lr:1.40e-01| loss_qfl:0.3140| loss_bbox:0.4094| loss_dfl:0.2519| 
INFO:root:train|Epoch5/200|Iter831(110/180)| lr:1.40e-01| loss_qfl:0.2747| loss_bbox:0.3972| loss_dfl:0.2407| 
INFO:root:train|Epoch5/200|Iter841(120/180)| lr:1.40e-01| loss_qfl:0.2719| loss_bbox:0.3713| loss_dfl:0.2334| 
INFO:root:train|Epoch5/200|Iter851(130/180)| lr:1.40e-01| loss_qfl:0.2696| loss_bbox:0.3794| loss_dfl:0.2401| 
INFO:root:train|Epoch5/200|Iter861(140/180)| lr:1.40e-01| loss_qfl:0.3078| loss_bbox:0.3948| loss_dfl:0.2398| 
INFO:root:train|Epoch5/200|Iter871(150/180)| lr:1.40e-01| loss_qfl:0.2927| loss_bbox:0.4072| loss_dfl:0.2453| 
INFO:root:train|Epoch5/200|Iter881(160/180)| lr:1.40e-01| loss_qfl:0.2955| loss_bbox:0.3788| loss_dfl:0.2357| 
INFO:root:train|Epoch5/200|Iter891(170/180)| lr:1.40e-01| loss_qfl:0.3113| loss_bbox:0.3780| loss_dfl:0.2400| 
INFO:root:train|Epoch6/200|Iter901(0/180)| lr:1.40e-01| loss_qfl:0.3074| loss_bbox:0.4287| loss_dfl:0.2554| 
INFO:root:train|Epoch6/200|Iter911(10/180)| lr:1.40e-01| loss_qfl:0.2709| loss_bbox:0.3595| loss_dfl:0.2346| 
INFO:root:train|Epoch6/200|Iter921(20/180)| lr:1.40e-01| loss_qfl:0.3083| loss_bbox:0.4078| loss_dfl:0.2399| 
INFO:root:train|Epoch6/200|Iter931(30/180)| lr:1.40e-01| loss_qfl:0.2935| loss_bbox:0.4082| loss_dfl:0.2439| 
INFO:root:train|Epoch6/200|Iter941(40/180)| lr:1.40e-01| loss_qfl:0.2711| loss_bbox:0.3857| loss_dfl:0.2402| 
INFO:root:train|Epoch6/200|Iter951(50/180)| lr:1.40e-01| loss_qfl:0.2865| loss_bbox:0.4032| loss_dfl:0.2439| 
INFO:root:train|Epoch6/200|Iter961(60/180)| lr:1.40e-01| loss_qfl:0.2763| loss_bbox:0.3736| loss_dfl:0.2315| 
INFO:root:train|Epoch6/200|Iter971(70/180)| lr:1.40e-01| loss_qfl:0.3193| loss_bbox:0.3654| loss_dfl:0.2309| 
INFO:root:train|Epoch6/200|Iter981(80/180)| lr:1.40e-01| loss_qfl:0.3158| loss_bbox:0.3868| loss_dfl:0.2454| 
INFO:root:train|Epoch6/200|Iter991(90/180)| lr:1.40e-01| loss_qfl:0.3080| loss_bbox:0.3766| loss_dfl:0.2380| 
INFO:root:train|Epoch6/200|Iter1001(100/180)| lr:1.40e-01| loss_qfl:0.2858| loss_bbox:0.3935| loss_dfl:0.2447| 
INFO:root:train|Epoch6/200|Iter1011(110/180)| lr:1.40e-01| loss_qfl:0.2490| loss_bbox:0.3595| loss_dfl:0.2343| 
INFO:root:train|Epoch6/200|Iter1021(120/180)| lr:1.40e-01| loss_qfl:0.2981| loss_bbox:0.3619| loss_dfl:0.2306| 
INFO:root:train|Epoch6/200|Iter1031(130/180)| lr:1.40e-01| loss_qfl:0.2909| loss_bbox:0.3815| loss_dfl:0.2294| 
INFO:root:train|Epoch6/200|Iter1041(140/180)| lr:1.40e-01| loss_qfl:0.3105| loss_bbox:0.3974| loss_dfl:0.2444| 
INFO:root:train|Epoch6/200|Iter1051(150/180)| lr:1.40e-01| loss_qfl:0.3057| loss_bbox:0.3692| loss_dfl:0.2364| 
INFO:root:train|Epoch6/200|Iter1061(160/180)| lr:1.40e-01| loss_qfl:0.2754| loss_bbox:0.3555| loss_dfl:0.2276| 
INFO:root:train|Epoch6/200|Iter1071(170/180)| lr:1.40e-01| loss_qfl:0.2581| loss_bbox:0.3793| loss_dfl:0.2371| 
INFO:root:train|Epoch7/200|Iter1081(0/180)| lr:1.40e-01| loss_qfl:0.2463| loss_bbox:0.4237| loss_dfl:0.2273| 
INFO:root:train|Epoch7/200|Iter1091(10/180)| lr:1.40e-01| loss_qfl:0.2725| loss_bbox:0.3903| loss_dfl:0.2320| 
INFO:root:train|Epoch7/200|Iter1101(20/180)| lr:1.40e-01| loss_qfl:0.2784| loss_bbox:0.3972| loss_dfl:0.2398| 
INFO:root:train|Epoch7/200|Iter1111(30/180)| lr:1.40e-01| loss_qfl:0.2692| loss_bbox:0.3616| loss_dfl:0.2223| 
INFO:root:train|Epoch7/200|Iter1121(40/180)| lr:1.40e-01| loss_qfl:0.2668| loss_bbox:0.3598| loss_dfl:0.2376| 
INFO:root:train|Epoch7/200|Iter1131(50/180)| lr:1.40e-01| loss_qfl:0.3073| loss_bbox:0.3962| loss_dfl:0.2468| 
INFO:root:train|Epoch7/200|Iter1141(60/180)| lr:1.40e-01| loss_qfl:0.3000| loss_bbox:0.3556| loss_dfl:0.2284| 
INFO:root:train|Epoch7/200|Iter1151(70/180)| lr:1.40e-01| loss_qfl:0.2757| loss_bbox:0.3983| loss_dfl:0.2375| 
INFO:root:train|Epoch7/200|Iter1161(80/180)| lr:1.40e-01| loss_qfl:0.2522| loss_bbox:0.3734| loss_dfl:0.2280| 
INFO:root:train|Epoch7/200|Iter1171(90/180)| lr:1.40e-01| loss_qfl:0.2615| loss_bbox:0.3641| loss_dfl:0.2307| 
INFO:root:train|Epoch7/200|Iter1181(100/180)| lr:1.40e-01| loss_qfl:0.2481| loss_bbox:0.3960| loss_dfl:0.2385| 
INFO:root:train|Epoch7/200|Iter1191(110/180)| lr:1.40e-01| loss_qfl:0.2640| loss_bbox:0.3786| loss_dfl:0.2287| 
INFO:root:train|Epoch7/200|Iter1201(120/180)| lr:1.40e-01| loss_qfl:0.2555| loss_bbox:0.3622| loss_dfl:0.2240| 
INFO:root:train|Epoch7/200|Iter1211(130/180)| lr:1.40e-01| loss_qfl:0.2915| loss_bbox:0.3615| loss_dfl:0.2295| 
INFO:root:train|Epoch7/200|Iter1221(140/180)| lr:1.40e-01| loss_qfl:0.2945| loss_bbox:0.3640| loss_dfl:0.2246| 
INFO:root:train|Epoch7/200|Iter1231(150/180)| lr:1.40e-01| loss_qfl:0.2815| loss_bbox:0.3718| loss_dfl:0.2333| 
INFO:root:train|Epoch7/200|Iter1241(160/180)| lr:1.40e-01| loss_qfl:0.3070| loss_bbox:0.3658| loss_dfl:0.2386| 
INFO:root:train|Epoch7/200|Iter1251(170/180)| lr:1.40e-01| loss_qfl:0.3034| loss_bbox:0.4028| loss_dfl:0.2364| 
INFO:root:train|Epoch8/200|Iter1261(0/180)| lr:1.40e-01| loss_qfl:0.3711| loss_bbox:0.3119| loss_dfl:0.2155| 
INFO:root:train|Epoch8/200|Iter1271(10/180)| lr:1.40e-01| loss_qfl:0.2782| loss_bbox:0.3333| loss_dfl:0.2225| 
INFO:root:train|Epoch8/200|Iter1281(20/180)| lr:1.40e-01| loss_qfl:0.2549| loss_bbox:0.3374| loss_dfl:0.2211| 
INFO:root:train|Epoch8/200|Iter1291(30/180)| lr:1.40e-01| loss_qfl:0.2523| loss_bbox:0.3756| loss_dfl:0.2331| 
INFO:root:train|Epoch8/200|Iter1301(40/180)| lr:1.40e-01| loss_qfl:0.3019| loss_bbox:0.3722| loss_dfl:0.2305| 
INFO:root:train|Epoch8/200|Iter1311(50/180)| lr:1.40e-01| loss_qfl:0.2897| loss_bbox:0.3655| loss_dfl:0.2304| 
INFO:root:train|Epoch8/200|Iter1321(60/180)| lr:1.40e-01| loss_qfl:0.2534| loss_bbox:0.3683| loss_dfl:0.2313| 
INFO:root:train|Epoch8/200|Iter1331(70/180)| lr:1.40e-01| loss_qfl:0.2729| loss_bbox:0.3581| loss_dfl:0.2282| 
INFO:root:train|Epoch8/200|Iter1341(80/180)| lr:1.40e-01| loss_qfl:0.2669| loss_bbox:0.3579| loss_dfl:0.2263| 
INFO:root:train|Epoch8/200|Iter1351(90/180)| lr:1.40e-01| loss_qfl:0.3021| loss_bbox:0.3806| loss_dfl:0.2349| 
INFO:root:train|Epoch8/200|Iter1361(100/180)| lr:1.40e-01| loss_qfl:0.2746| loss_bbox:0.3827| loss_dfl:0.2394| 
INFO:root:train|Epoch8/200|Iter1371(110/180)| lr:1.40e-01| loss_qfl:0.2690| loss_bbox:0.3986| loss_dfl:0.2449| 
INFO:root:train|Epoch8/200|Iter1381(120/180)| lr:1.40e-01| loss_qfl:0.2538| loss_bbox:0.3577| loss_dfl:0.2335| 
INFO:root:train|Epoch8/200|Iter1391(130/180)| lr:1.40e-01| loss_qfl:0.2964| loss_bbox:0.3649| loss_dfl:0.2320| 
INFO:root:train|Epoch8/200|Iter1401(140/180)| lr:1.40e-01| loss_qfl:0.2716| loss_bbox:0.3780| loss_dfl:0.2345| 
INFO:root:train|Epoch8/200|Iter1411(150/180)| lr:1.40e-01| loss_qfl:0.2864| loss_bbox:0.3845| loss_dfl:0.2433| 
INFO:root:train|Epoch8/200|Iter1421(160/180)| lr:1.40e-01| loss_qfl:0.2856| loss_bbox:0.3674| loss_dfl:0.2274| 
INFO:root:train|Epoch8/200|Iter1431(170/180)| lr:1.40e-01| loss_qfl:0.2628| loss_bbox:0.3721| loss_dfl:0.2295| 
INFO:root:train|Epoch9/200|Iter1441(0/180)| lr:1.40e-01| loss_qfl:0.2561| loss_bbox:0.3683| loss_dfl:0.2230| 
INFO:root:train|Epoch9/200|Iter1451(10/180)| lr:1.40e-01| loss_qfl:0.2380| loss_bbox:0.3562| loss_dfl:0.2250| 
INFO:root:train|Epoch9/200|Iter1461(20/180)| lr:1.40e-01| loss_qfl:0.2863| loss_bbox:0.3381| loss_dfl:0.2211| 
